Temperature,Humidity,Wind Speed,Weather Condition,Date
0.6853146853146832,20,0.20320855614973254,broken clouds,2024-12-08 12:00:00
0.4423076923076934,23,0.625668449197861,scattered clouds,2024-12-08 15:00:00
0.2447552447552468,22,1.0,clear sky,2024-12-08 18:00:00
0.1083916083916101,17,0.7272727272727273,clear sky,2024-12-08 21:00:00
0.012237762237763405,20,0.5508021390374331,clear sky,2024-12-09 00:00:00
0.0935314685314701,20,0.4331550802139037,clear sky,2024-12-09 03:00:00
0.6328671328671334,15,0.49197860962566864,clear sky,2024-12-09 06:00:00
0.7578671328671369,14,0.7593582887700536,clear sky,2024-12-09 09:00:00
0.33129370629371024,23,0.6577540106951871,clear sky,2024-12-09 12:00:00
0.11800699300699691,28,0.7647058823529411,clear sky,2024-12-09 15:00:00
0.05419580419580683,27,0.4385026737967914,clear sky,2024-12-09 18:00:00
0.02534965034965353,23,0.49197860962566864,scattered clouds,2024-12-09 21:00:00
0.0,22,0.42245989304812825,broken clouds,2024-12-10 00:00:00
0.05681818181817988,25,0.3582887700534758,scattered clouds,2024-12-10 03:00:00
0.6687062937062933,17,0.27807486631016043,scattered clouds,2024-12-10 06:00:00
0.8024475524475534,15,0.7165775401069518,scattered clouds,2024-12-10 09:00:00
0.39423076923077005,22,0.13903743315508021,broken clouds,2024-12-10 12:00:00
0.22552447552447674,26,0.3315508021390374,overcast clouds,2024-12-10 15:00:00
0.11625874125873992,27,0.3850267379679144,broken clouds,2024-12-10 18:00:00
0.06118881118880992,27,0.2994652406417112,clear sky,2024-12-10 21:00:00
0.0288461538461533,27,0.31550802139037426,few clouds,2024-12-11 00:00:00
0.14685314685314665,24,0.0,overcast clouds,2024-12-11 03:00:00
0.6774475524475534,16,0.267379679144385,overcast clouds,2024-12-11 06:00:00
0.8540209790209801,13,0.5454545454545454,clear sky,2024-12-11 09:00:00
0.42045454545454675,21,0.1657754010695187,clear sky,2024-12-11 12:00:00
0.22552447552447674,25,0.5775401069518715,clear sky,2024-12-11 15:00:00
0.16958041958042003,24,0.44385026737967914,clear sky,2024-12-11 18:00:00
0.11101398601398671,25,0.4545454545454546,clear sky,2024-12-11 21:00:00
0.050699300699299954,29,0.4117647058823528,clear sky,2024-12-12 00:00:00
0.11888111888112007,30,0.20320855614973254,clear sky,2024-12-12 03:00:00
0.7010489510489499,20,0.2406417112299465,clear sky,2024-12-12 06:00:00
0.8487762237762233,17,0.6577540106951871,clear sky,2024-12-12 09:00:00
0.41171328671328666,25,0.26203208556149726,clear sky,2024-12-12 12:00:00
0.22115384615385025,29,0.4545454545454546,clear sky,2024-12-12 15:00:00
0.1634615384615401,28,0.4385026737967914,clear sky,2024-12-12 18:00:00
0.11013986013985999,28,0.5080213903743316,clear sky,2024-12-12 21:00:00
0.07080419580419672,30,0.5080213903743316,clear sky,2024-12-13 00:00:00
0.15297202797203013,31,0.41711229946524075,clear sky,2024-12-13 03:00:00
0.8068181818181834,19,0.49732620320855614,clear sky,2024-12-13 06:00:00
1.0,15,0.9625668449197862,clear sky,2024-12-13 09:00:00
