Temperature,Humidity,Wind Speed,Weather Condition,Date
0.761295822676896,13,0.33043478260869574,clear sky,2024-12-10 09:00:00
0.6257459505541334,16,0.0,few clouds,2024-12-10 12:00:00
0.3606138107416861,21,0.3086956521739129,scattered clouds,2024-12-10 15:00:00
0.09548167092923876,25,0.26086956521739135,scattered clouds,2024-12-10 18:00:00
0.046888320545608764,25,0.14347826086956517,few clouds,2024-12-10 21:00:00
0.0,24,0.18695652173913047,clear sky,2024-12-11 00:00:00
0.10315430520034141,23,0.09130434782608687,clear sky,2024-12-11 03:00:00
0.6487638533674343,15,0.19130434782608696,clear sky,2024-12-11 06:00:00
0.7988064791133809,14,0.31304347826086965,clear sky,2024-12-11 09:00:00
0.3716965046888312,21,0.05217391304347829,clear sky,2024-12-11 12:00:00
0.20375106564364742,23,0.3086956521739129,clear sky,2024-12-11 15:00:00
0.15004262574594662,22,0.21304347826086956,clear sky,2024-12-11 18:00:00
0.09803921568627416,24,0.18695652173913047,clear sky,2024-12-11 21:00:00
0.046888320545608764,35,0.24782608695652175,clear sky,2024-12-12 00:00:00
0.12702472293264933,43,0.16521739130434787,clear sky,2024-12-12 03:00:00
0.6555839727195192,31,0.14782608695652177,clear sky,2024-12-12 06:00:00
0.7988064791133809,25,0.3956521739130435,clear sky,2024-12-12 09:00:00
0.4211423699914718,36,0.28695652173913044,clear sky,2024-12-12 12:00:00
0.2429667519181571,42,0.426086956521739,clear sky,2024-12-12 15:00:00
0.18670076726342444,43,0.19130434782608696,clear sky,2024-12-12 18:00:00
0.14066496163682984,43,0.4217391304347827,clear sky,2024-12-12 21:00:00
0.09207161125319274,41,0.4608695652173912,clear sky,2024-12-13 00:00:00
0.1585677749360599,36,0.4913043478260869,clear sky,2024-12-13 03:00:00
0.7817561807331614,21,0.417391304347826,clear sky,2024-12-13 06:00:00
0.9522591645353771,17,0.9999999999999999,clear sky,2024-12-13 09:00:00
0.5319693094629123,24,0.8130434782608694,clear sky,2024-12-13 12:00:00
0.3137254901960773,28,0.7869565217391302,clear sky,2024-12-13 15:00:00
0.2531969309462916,24,0.626086956521739,clear sky,2024-12-13 18:00:00
0.21227621483375714,22,0.38695652173913053,broken clouds,2024-12-13 21:00:00
0.11679454390451838,19,0.417391304347826,broken clouds,2024-12-14 00:00:00
0.2770673486785995,16,0.3652173913043477,overcast clouds,2024-12-14 03:00:00
0.8090366581415154,10,0.11304347826086958,overcast clouds,2024-12-14 06:00:00
1.0,10,0.05217391304347829,overcast clouds,2024-12-14 09:00:00
0.5618073316283052,17,0.09130434782608687,overcast clouds,2024-12-14 12:00:00
0.43648763853367356,17,0.31739130434782603,broken clouds,2024-12-14 15:00:00
0.38874680306905063,16,0.14347826086956517,broken clouds,2024-12-14 18:00:00
0.29582267689684727,15,0.24347826086956514,overcast clouds,2024-12-14 21:00:00
0.27195225916453225,16,0.18260869565217397,overcast clouds,2024-12-15 00:00:00
0.35123614663256575,18,0.07391304347826089,overcast clouds,2024-12-15 03:00:00
0.9300937766410904,13,0.09130434782608687,broken clouds,2024-12-15 06:00:00
